@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,230,0,400,0,1,1,0.365079,1,0.634921,0.534884,1,1,0.000054
1,230,0,399,1,0.9975,1,0.36566,1,0.63434,0.535506,0.998413,1.00159,0.000056
2,230,0,398,2,0.995,1,0.366242,1,0.633758,0.536131,0.996825,1.003185,0.000058
3,230,0,397,3,0.9925,1,0.366826,1,0.633174,0.536756,0.995238,1.004785,0.000063
4,230,0,396,4,0.99,1,0.367412,1,0.632588,0.537383,0.993651,1.00639,0.000066
5,230,0,395,5,0.9875,1,0.368,1,0.632,0.538012,0.992063,1.008,0.000066
6,230,0,394,6,0.985,1,0.36859,1,0.63141,0.538642,0.990476,1.009615,0.000066
7,230,0,393,7,0.9825,1,0.369181,1,0.630819,0.539273,0.988889,1.011236,0.000066
8,230,0,392,8,0.98,1,0.369775,1,0.630225,0.539906,0.987302,1.012862,0.000069
9,230,0,390,10,0.975,1,0.370968,1,0.629032,0.541176,0.984127,1.016129,0.000069
10,230,0,388,12,0.97,1,0.372168,1,0.627832,0.542453,0.980952,1.019417,0.000069
11,230,0,386,14,0.965,1,0.373377,1,0.626623,0.543735,0.977778,1.022727,0.000069
12,230,0,384,16,0.96,1,0.374593,1,0.625407,0.545024,0.974603,1.026059,0.000069
13,230,0,382,18,0.955,1,0.375817,1,0.624183,0.546318,0.971429,1.029412,0.000069
14,230,0,380,20,0.95,1,0.377049,1,0.622951,0.547619,0.968254,1.032787,0.000069
15,230,0,378,22,0.945,1,0.378289,1,0.621711,0.548926,0.965079,1.036184,0.000069
16,230,0,377,23,0.9425,1,0.378913,1,0.621087,0.549582,0.963492,1.037891,0.000069
17,230,0,375,25,0.9375,1,0.380165,1,0.619835,0.550898,0.960317,1.041322,0.000069
18,230,0,373,27,0.9325,1,0.381426,1,0.618574,0.552221,0.957143,1.044776,0.000069
19,230,0,372,28,0.93,1,0.38206,1,0.61794,0.552885,0.955556,1.046512,0.000069
20,230,0,371,29,0.9275,1,0.382696,1,0.617304,0.55355,0.953968,1.048253,0.000072
21,230,0,368,32,0.92,1,0.384615,1,0.615385,0.555556,0.949206,1.053512,0.000072
22,230,0,367,33,0.9175,1,0.38526,1,0.61474,0.556227,0.947619,1.055276,0.000072
23,230,0,364,36,0.91,1,0.387205,1,0.612795,0.558252,0.942857,1.060606,0.000072
24,230,0,363,37,0.9075,1,0.387858,1,0.612142,0.558931,0.94127,1.062395,0.000072
25,230,0,359,41,0.8975,1,0.390492,1,0.609508,0.561661,0.934921,1.06961,0.000072
26,230,0,358,42,0.895,1,0.391156,1,0.608844,0.562347,0.933333,1.071429,0.000072
27,230,0,355,45,0.8875,1,0.393162,1,0.606838,0.564417,0.928571,1.076923,0.000072
28,230,0,352,48,0.88,1,0.395189,1,0.604811,0.566502,0.92381,1.082474,0.000072
29,230,0,349,51,0.8725,1,0.397237,1,0.602763,0.568603,0.919048,1.088083,0.000072
30,230,0,348,52,0.87,1,0.397924,1,0.602076,0.569307,0.91746,1.089965,0.000072
31,230,0,347,53,0.8675,1,0.398614,1,0.601386,0.570012,0.915873,1.091854,0.000072
32,230,0,346,54,0.865,1,0.399306,1,0.600694,0.57072,0.914286,1.09375,0.000072
