@relation InstanceResultListener

@attribute Key_Dataset {data.to.save}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

data.to.save,1,1,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.898223,0.063912,0.235525,13.782327,48.919693,59.64963,32.491191,27.158439,0.94682,0.515733,0.431086,51.286667,0.814074,85.979858,0.956522,22,0.05,2,0.95,38,0.043478,1,0.916667,0.956522,0.93617,0.89874,0.969565,0.906435,0.952381,0.045859,0.954141,0.047619,0.953297,0.952381,0.952586,0.89874,0.969565,0.952134,0.949098,0.952381,0,0.061,0,0.0625,0,62.5,65186,63369,8433,95.238095,51.587302,?,2
data.to.save,1,2,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,59,4,0,93.650794,6.349206,0,0.865528,0.043912,0.163637,9.469512,33.988186,59.64963,6.436992,53.212638,0.94682,0.102174,0.844645,53.60792,0.850919,89.871336,0.956522,22,0.075,3,0.925,37,0.043478,1,0.88,0.956522,0.916667,0.867491,0.996196,0.993093,0.936508,0.054986,0.945014,0.063492,0.939482,0.936508,0.937017,0.867491,0.996196,0.995929,0.932692,0.936508,0,0.052,0,0.0625,0,62.5,65178,63369,8433,100,53.968254,?,4
data.to.save,1,3,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.026972,0.111534,5.816405,23.166111,59.64963,3.344888,56.304743,0.94682,0.053093,0.893726,56.304743,0.893726,94.392442,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,1,1,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,1,1,0.982716,0.984127,0,0.051,0,0.046875,0,46.875,65330,63369,8433,100,53.174603,?,4
data.to.save,1,4,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.047961,0.19237,10.342601,39.956129,59.64963,23.2558,36.39383,0.94682,0.36914,0.57768,53.646701,0.851535,89.93635,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.973913,0.917429,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.973913,0.95859,0.966346,0.968254,0,0.053,0,0.046875,0,46.875,65218,63369,8433,96.825397,52.380952,?,3
data.to.save,1,5,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.048108,0.199065,10.374249,41.346844,59.64963,22.346452,37.303179,0.94682,0.354706,0.592114,53.388664,0.847439,89.503763,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.981522,0.942583,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.981522,0.970069,0.965761,0.968254,0,0.05,0,0.0625,0,62.5,65314,63369,8433,96.825397,51.587302,?,2
data.to.save,1,6,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.026981,0.122423,5.818274,25.427884,59.64963,3.632181,56.01745,0.94682,0.057654,0.889166,56.078677,0.890138,94.013452,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,1,1,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,1,1,0.982716,0.984127,0,0.052,0,0.046875,0,46.875,65194,63369,8433,100,52.380952,?,2
data.to.save,1,7,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.018727,0.091534,4.038328,19.012092,59.64963,2.282003,57.367628,0.94682,0.036222,0.910597,57.151078,0.90716,95.811286,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,1,1,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,1,1,0.966346,0.968254,0,0.05,0,0.046875,0,46.875,65202,63369,8433,100,52.380952,?,6
data.to.save,1,8,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,63,0,0,100,0,0,1,0.021677,0.098502,4.674607,20.459322,59.64963,2.631757,57.017873,0.94682,0.041774,0.905046,57.017873,0.905046,95.587974,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.052,0,0.0625,0,62.5,65162,63369,8433,100,52.380952,?,2
data.to.save,1,9,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.041804,0.160834,9.014992,33.406045,59.64963,14.173896,45.475735,0.94682,0.224982,0.721837,54.408297,0.863624,91.213134,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.98587,0.953129,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.98587,0.976697,0.966346,0.968254,0,0.054,0,0.046875,0,46.875,65194,63369,8433,98.412698,53.968254,?,4
