@relation InstanceResultListener

@attribute Key_Dataset {Filtered.Breast.Cancer.Wisconsin..Original..Data.Set}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'',-D}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.031815,0.178175,6.860855,37.007784,59.64963,390.217731,-330.5681,0.94682,6.193932,-5.247113,55.42678,0.87979,92.920575,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.971739,0.910066,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.980711,0.962718,0.966346,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.034803,0.179752,7.50506,37.335372,59.64963,81.874075,-22.224445,0.94682,1.299588,-0.352769,55.125846,0.875013,92.416073,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.997826,0.996522,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.997826,0.997946,0.966346,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,63,0,0,100,0,0,1,0.000164,0.00103,0.03533,0.213982,59.64963,0.014939,59.634691,0.94682,0.000237,0.946582,59.634691,0.946582,99.974955,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3688,63409,8473,100,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.047619,0.218218,10.268914,45.32483,59.64963,280.854786,-221.205156,0.94682,4.458012,-3.511193,53.324802,0.846425,89.396701,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.986957,0.956601,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.988337,0.980981,0.949907,0.952381,0,0,0,0,0,0,3688,63409,8473,95.238095,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,59,4,0,93.650794,6.349206,0,0.863043,0.070039,0.257185,15.103631,53.418541,59.64963,517.534814,-457.885184,0.94682,8.214838,-7.268019,50.450278,0.800798,84.577687,0.913043,21,0.05,2,0.95,38,0.086957,2,0.913043,0.913043,0.913043,0.863043,0.965217,0.891673,0.936508,0.073464,0.926536,0.063492,0.936508,0.936508,0.936508,0.863043,0.972809,0.953507,0.931522,0.936508,0.001,0,0,0,0,0,3688,63409,8473,93.650794,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.035896,0.177784,7.740951,36.926549,59.64963,218.055273,-158.405642,0.94682,3.461195,-2.514375,55.02242,0.873372,92.242684,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.98587,0.952914,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.985179,0.978695,0.965761,0.968254,0,0.001,0,0,0,0,3688,63409,8473,96.825397,51.587302,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.047616,0.218178,10.268342,45.316566,59.64963,267.424778,-207.775147,0.94682,4.244838,-3.298018,53.325043,0.846429,89.397105,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.9875,0.958333,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.991296,0.982718,0.949907,0.952381,0,0,0,0,0,0,3688,63409,8473,95.238095,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.031391,0.176174,6.769288,36.592097,59.64963,218.258141,-158.608511,0.94682,3.464415,-2.517595,55.46576,0.880409,92.985923,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.985326,0.950947,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.987051,0.978668,0.965761,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.054804,0.225544,11.81828,46.846563,59.64963,164.189307,-104.539677,0.94682,2.606179,-1.65936,52.360221,0.831115,87.779623,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.973913,0.916812,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.989096,0.968846,0.949907,0.952381,0,0,0,0,0,0,3688,63409,8473,95.238095,50.793651,?
